ObjectID,Election,County,HASNO,Site Name,Site Address,Zip,New,ED,Latitude,Longitude,x,y
393,General Election 2024 - 11/05/2024,Brooklyn,B0121,PS 178,2163 Dean Street,11233,,"063/55, 064/55",40.67513175,-73.91535094,591667.9018,4503260.1796
394,General Election 2024 - 11/05/2024,Brooklyn,B0110,PS 179,202 Avenue C,11218,,"002/44, 048/44, 057/44, 058/44, 088/44",40.64032673,-73.97738489,586470.017,4499333.7827
395,General Election 2024 - 11/05/2024,Brooklyn,B0012,PS 18,101 Maujer Street,11206,,"056/50, 057/50, 055/53, 056/53",40.71075023,-73.94648933,588988.8228,4507182.0504
396,General Election 2024 - 11/05/2024,Brooklyn,B0017,PS 181,1023 New York Avenue,11203,,"010/42, 031/42, 032/42, 033/42, 035/42, 024/58, 025/58",40.64816796,-73.94612452,589102.9389,4500235.403
397,General Election 2024 - 11/05/2024,Brooklyn,B0157,PS 184,273 Newport Street,11212,,"029/55, 038/55, 039/55",40.66009458,-73.90491386,592570.7891,4501601.8981
398,General Election 2024 - 11/05/2024,Brooklyn,B0355,PS 185,8601 Ridge Boulevard,11209,,"006/46, 007/46, 008/46, 010/46",40.62366669,-74.03368771,581729.4199,4497430.6128
399,General Election 2024 - 11/05/2024,Brooklyn,B0332,PS 186,7601 19th Avenue,11214,,"027/49, 028/49, 029/49",40.61117303,-73.99468379,585044.2139,4496080.7168
400,General Election 2024 - 11/05/2024,Brooklyn,B0197,PS 188,3314 Neptune Avenue,11224,,"039/46, 040/46, 041/46, 042/46, 043/46, 074/46 (Combined into 043/46)",40.57702138,-74.00053083,584592.6142,4492284.1041
401,General Election 2024 - 11/05/2024,Brooklyn,B0030,PS 189,1100 East New York Avenue,11212,,"052/55, 014/58",40.66552316,-73.92576803,590800.5315,4502182.7559
402,General Election 2024 - 11/05/2024,Brooklyn,B0191,PS 19,325 S 3rd St,11211,,"041/50, 042/50, 048/53, 049/53, 050/53, 051/53, 052/53",40.70978702,-73.95471792,588295.0247,4507066.8233
403,General Election 2024 - 11/05/2024,Brooklyn,B0284,PS 190,590 Sheffield Avenue,11207,,"028/60, 029/60, 030/60",40.66228551,-73.89459572,593439.9704,4501856.0195
404,General Election 2024 - 11/05/2024,Brooklyn,B0253,PS 192,4715 18 Avenue,11204,,"013/48, 041/48, 042/48",40.62906504,-73.97995973,586266.7867,4498081.1488
405,General Election 2024 - 11/05/2024,Brooklyn,B0144,PS 193,2515 Avenue L,11210,,"048/42, 054/42, 055/42, 057/42, 058/42, 059/42",40.62170444,-73.95024678,588789.4595,4497293.6436
406,General Election 2024 - 11/05/2024,Brooklyn,B0383,PS 194,3117 Avenue W,11229,,"048/41, 051/41, 052/41, 053/41",40.59714988,-73.93401582,590195.3306,4494584.4706
407,General Election 2024 - 11/05/2024,Brooklyn,B0048,PS 195,131 Irwin Street,11235,,"020/45, 028/45",40.58028035,-73.94381007,589389.0634,4492701.8897
408,General Election 2024 - 11/05/2024,Brooklyn,B0112,PS 196,207 Bushwick Avenue,11206,,"043/53, 058/53",40.70876183,-73.93980222,589556.3496,4506968.1211
409,General Election 2024 - 11/05/2024,Brooklyn,B0076,PS 197,1599 East 22 Street,11210,,"023/41, 024/41, 025/41",40.61256535,-73.95166741,588681.3833,4496277.7261
410,General Election 2024 - 11/05/2024,Brooklyn,B0126,PS 20,225 Adelphi Street,11205,,"008/57, 011/57, 021/57, 022/57",40.69103023,-73.97126363,586921.7657,4504968.1991
411,General Election 2024 - 11/05/2024,Brooklyn,B0343,PS 201 JHS,8010 12th Avenue,11228,,"023/46, 024/46, 025/46, 035/49, 040/49",40.61864485,-74.01305901,583480.4465,4496892.53
412,General Election 2024 - 11/05/2024,Brooklyn,B0388,PS 203,5101 Avenue M,11234,,"010/41, 029/59, 030/59, 031/59, 034/59, 036/59, 038/59, 039/59",40.62165947,-73.92567128,590868.1846,4497313.7397
413,General Election 2024 - 11/05/2024,Brooklyn,B0345,PS 204,8101 15th Avenue,11228,,"020/49, 033/49, 036/49, 037/49",40.61374722,-74.00670572,584023.9843,4496354.9172
414,General Election 2024 - 11/05/2024,Brooklyn,B0301,PS 205,6701 20th Avenue,11204,,"023/49, 025/49, 050/49",40.61496089,-73.98715953,585675.8968,4496508.4844
